2025-10-16 11:23:57,775 | CPU: 2.5%
2025-10-16 11:23:58,780 | CPU: 2.8%
2025-10-16 11:23:59,786 | CPU: 1.4%
2025-10-16 11:24:00,787 | CPU: 1.9%
2025-10-16 11:24:01,792 | CPU: 3.0%
2025-10-16 11:24:02,801 | CPU: 1.7%
2025-10-16 11:24:03,807 | CPU: 1.5%
2025-10-16 11:24:04,812 | CPU: 0.8%
2025-10-16 11:24:05,818 | CPU: 12.0%
2025-10-16 11:24:06,823 | CPU: 52.8%
2025-10-16 11:24:06,824 | CPU: ---- run finished in 0.006s ----
2025-10-16 11:24:11,457 | CPU: 3.1%
2025-10-16 11:24:12,463 | CPU: 2.9%
2025-10-16 11:24:13,469 | CPU: 1.4%
2025-10-16 11:24:14,474 | CPU: 0.5%
2025-10-16 11:24:15,480 | CPU: 1.4%
2025-10-16 11:24:16,492 | CPU: 1.5%
2025-10-16 11:24:17,498 | CPU: 1.1%
2025-10-16 11:24:18,503 | CPU: 1.2%
2025-10-16 11:24:19,509 | CPU: 0.9%
2025-10-16 11:24:20,513 | CPU: 0.7%
2025-10-16 11:24:20,513 | CPU: ---- run finished in 0.007s ----
